Department,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28
Dahiliye (İç Hastalıkları),Hipoglisemi,yorgunluk,endişe,terlemek,baş ağrısı,mide bulantısı,bulanık ve bozuk görüş,aşırı açlık,dudakların kuruması ve karıncalanması,konuşma bozukluğu,sinirlilik,çarpıntı hissi,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipoglisemi,kusma,endişe,terlemek,baş ağrısı,mide bulantısı,bulanık ve bozuk görüş,aşırı açlık,dudakların kuruması ve karıncalanması,konuşma bozukluğu,sinirlilik,çarpıntı hissi,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipoglisemi,kusma,yorgunluk,terlemek,baş ağrısı,mide bulantısı,bulanık ve bozuk görüş,aşırı açlık,dudakların kuruması ve karıncalanması,konuşma bozukluğu,sinirlilik,çarpıntı hissi,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipoglisemi,kusma,yorgunluk,endişe,baş ağrısı,mide bulantısı,bulanık ve bozuk görüş,aşırı açlık,dudakların kuruması ve karıncalanması,konuşma bozukluğu,sinirlilik,çarpıntı hissi,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipoglisemi,kusma,yorgunluk,endişe,terlemek,mide bulantısı,bulanık ve bozuk görüş,aşırı açlık,dudakların kuruması ve karıncalanması,konuşma bozukluğu,sinirlilik,çarpıntı hissi,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipoglisemi,kusma,yorgunluk,endişe,terlemek,baş ağrısı,bulanık ve bozuk görüş,aşırı açlık,dudakların kuruması ve karıncalanması,konuşma bozukluğu,sinirlilik,çarpıntı hissi,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hipoglisemi,kusma,yorgunluk,endişe,terlemek,baş ağrısı,mide bulantısı,aşırı açlık,dudakların kuruması ve karıncalanması,konuşma bozukluğu,sinirlilik,çarpıntı hissi,,,,,,,,,,,,,,,,,
Ortopedi,Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Osteoartrit,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Osteoartrit,eklem ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Osteoartrit,eklem ağrısı,boyun ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,eklemlerin şişmesi,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Artrit,kas güçsüzlüğü,boyun tutulması,eklemlerin şişmesi,hareket kısıtlılığı,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Artrit,boyun tutulması,eklemlerin şişmesi,hareket kısıtlılığı,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Artrit,kas güçsüzlüğü,eklemlerin şişmesi,hareket kısıtlılığı,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Artrit,kas güçsüzlüğü,boyun tutulması,hareket kısıtlılığı,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Artrit,kas güçsüzlüğü,boyun tutulması,eklemlerin şişmesi,ağrılı yürüyüş,,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Artrit,kas güçsüzlüğü,boyun tutulması,eklemlerin şişmesi,hareket kısıtlılığı,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroymsal Pozisyonel Vertigo,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroymsal Pozisyonel Vertigo,kusma,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Akne,irin dolu sivilceler,siyah noktalar,yayılması,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Akne,deri döküntüsü,siyah noktalar,yayılması,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Akne,deri döküntüsü,irin dolu sivilceler,yayılması,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,İdrar Yolu Enfeksiyonu,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,İdrar Yolu Enfeksiyonu,idrar yaparken yanma,idrarın kötü kokusu,sürekli idrar hissi,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,sürekli idrar hissi,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Sedef Hastalığı,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Sedef Hastalığı,deri döküntüsü,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Sedef Hastalığı,deri döküntüsü,eklem ağrısı,gümüş renkli toz,tırnaklarda küçük ezikler,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,tırnaklarda küçük ezikler,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İmpetigo,deri döküntüsü,yüksek ateş,kabarcık,burun çevresinde kırmızı yara,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İmpetigo,yüksek ateş,kabarcık,burun çevresinde kırmızı yara,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İmpetigo,deri döküntüsü,kabarcık,burun çevresinde kırmızı yara,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İmpetigo,deri döküntüsü,yüksek ateş,burun çevresinde kırmızı yara,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İmpetigo,deri döküntüsü,yüksek ateş,kabarcık,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İmpetigo,deri döküntüsü,yüksek ateş,kabarcık,burun çevresinde kırmızı yara,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,yorgunluk,yüksek ateş,tat kaybı,öksürük,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,yüksek ateş,tat kaybı,öksürük,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,öksürük,yüksek ateş,yorgunluk,tat kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,tat kaybı,yorgunluk,yüksek ateş,öksürük,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,yüksek ateş,öksürük,yorgunluk,tat kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,yorgunluk,koku kaybı,yüksek ateş,öksürük,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,koku kaybı,yorgunluk,yüksek ateş,öksürük,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,tat kaybı,öksürük,yorgunluk,yüksek ateş,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kovid,yüksek ateş,yorgunluk,öksürük,tat kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Genel Cerrahi,Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Genel Cerrahi,Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,
Genel Cerrahi,Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Genel Cerrahi,Dimorfik Hemoroid,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Genel Cerrahi,Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,,,,,,,,,,,,,,,,,,,,,,,,
Genel Cerrahi,Dimorfik Hemoroid,kabızlık,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yaralar,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,diskromik yaralar,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,deri döküntüsü,bezeli cilt döküntüleri,diskromik yaralar,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,bezeli cilt döküntüleri,diskromik yaralar,,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroksismal Pozisyonel Vertigo,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroksismal Pozisyonel Vertigo,kusma,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları,baş ağrısı,yorgunluk,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşit,öksürük,mukus üretimi,nefes darlığı,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer İltihaplanması (zatüre),ateş,öksürük,nefes darlığı,göğüs ağrısı,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Kalp Krizi,göğüs ağrısı,nefes darlığı,mide bulantısı,kusma,denge kaybı,terlemek,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Felç,ani güç kaybı,vücudun bir tarafında uyuşukluk,bilinç bulanıklığı,konuşma zorluğu,tek gözde görme sorunu,şiddetli baş ağrısı,,,,,,,,,,,,,,,,,,,,,,
Onkoloji,Kanser,yumru,açıklanamayan kilo kaybı,yorgunluk,bağırsaktaki değişiklikler,mesane alışkanlığında değişiklik,inatçı öksürük,hazımsızlık,açıklanamayan kanama veya akıntı,,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Diyabet,artan susuzluk,sık idrara çıkma,açıklanamayan kilo kaybı,yorgunluk,bulanık görüş,iyileşmesi yavaş olan kesikler,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Artrit,ağrı,sertlik,şişme,eklemlerde iltihaplanma,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü,pembe göz,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz,damak,,,,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Anemi,yorgunluk,nefes darlığı,soluk cilt,denge kaybı,baş dönmesi,,,,,,,,,,,,,,,,,,,,,,,
Psikiyatri,Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Cerrahi,Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Astım,hırıltı,nefes darlığı,öksürme,göğüste sıkışma,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma,ışığa duyarlılık,,,,,,,,,,,,,,,,,,,,,,
Psikiyatri,Bipolar Bozukluk,aşırı ruh hali değişimleri,manito depresyonu,,,,,,,,,,,,,,,,,,,,,,,,,,
Üroloji,Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet,nefes darlığı,göğüs ağrısı,nefes almada zorluk,kan tükürme,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Bursit,ağrı,şişme,rahimde iltihaplanma,eklemleri tamponlayan küçük sıvı kesesi,,,,,,,,,,,,,,,,,,,,,,,,
Onkoloji,Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Suçiçeği,döküntü,ateş,baş ağrısı,kas ağrıları,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Soğuk Algınlığı,burun akması,hapşırma,boğaz ağrısı,öksürük,tıkanıklık,,,,,,,,,,,,,,,,,,,,,,,
Göz Hastalıkları,Göz Nezlesi,kırmızı,kaşıntı,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,
Psikiyatri,Depresyon,üzüntü,umutsuzluk,aktivitelere ilgi kaybı,iştahtaki değişiklikler,uyumak,enerji seviyeleri,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,İshal,ishal,sulu dışkı,,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Yüksek Ateş,yüksek vücut ısısı,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Gıda Zehirlenmesi,mide bulantısı,kusma,ishal,karın krampları,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Safra Taşları,sağ üst karın bölgesinde ağrı,mide bulantısı,kusma,ateş,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Grip,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları,baş ağrısı,yorgunluk,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Huzursuz Bağırsak Sendromu,karın ağrısı,şişkinlik,kabızlık,ishal,,,,,,,,,,,,,,,,,,,,,,,,
Nefroloji,Böbrek Taşı,alt sırtta veya yan tarafta ağrı,mide bulantısı,kusma,idrarda kan,,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk,balgamda kan,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Sıtma,ateş,üşümek,terlemek,baş ağrısı,kas ağrıları,yorgunluk,kusma,ishal,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı,döküntü,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma,ışığa duyarlılık,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Kuduz,ateş,baş ağrısı,kas ağrıları,ısırık yerinde karıncalanma,yutma güçlüğü,su korkusu (kuduz),uçma korkusu,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Salmonella,ateş,ishal,karın krampları,mide bulantısı,kusma,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Tüberküloz,geçmeyen öksürük,ateş,gece terlemeleri,kilo kaybı,yorgunluk,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,İdrar Yolu Enfeksiyonu,ağrılı idrar yapma,yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrarda kan,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Varisli Damarlar,şişmiş,çatlak damarlar,genellikle bacaklarda,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfeksiyon Hastalıkları,Mantar Enfeksiyonu,kaşıntı,yanma,vajinor penisinden akıntı,,,,,,,,,,,,,,,,,,,,,,,,,
Göz Hastalıkları,Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Cerrahi,Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,,,,,,,,,,,,,,,,,,,,,,,,
Nefroloji,Akut Böbrek Yetmezliği,böbrek fonksiyonunda azalma,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kardiyoloji,Aort Anevrizması,aort duvarındaki çıkıntı,vücuttaki en büyük arter,,,,,,,,,,,,,,,,,,,,,,,,,,
Onkoloji,Kolon Kanseri,dışkı alışkanlıklarında değişiklik,ishalimsi,kabızlık,dışkı azalması,dışkıda kan,karın ağrısı,açıklanamayan kilo kaybı,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Demans,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Ereksiyon Bozukluğu,erekte olamama,ereksiyon olma,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Fibromiyalji,geniş alana yayılmış ağrı,yorgunluk,hassasiyet,,,,,,,,,,,,,,,,,,,,,,,,,
Göz Hastalıkları,Glokom,gözde optik sinire zarar verebilecek artan basınç,görme kaybına neden olma,,,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Parkinson Hastalığı,ellerde titremek,yavaş hareket,sertlik,dengede zorluk,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Peptik Ülser Hastalığı,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,,,,,,,,,,,,,,,,,,,,,,,,
Üroloji,Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Romatizmal Eklem İltihabı,ağrı,şişme,eklemlerde kısıtlılık,,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Felç,ani güç kaybı,vücudun bir tarafında uyuşukluk,konuşma zorluğu,bilinç bulanıklığı,tek gözde görme sorunu,şiddetli baş ağrısı,,,,,,,,,,,,,,,,,,,,,,
Onkoloji,Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı,soğuğa duyarlılık,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Ülseratif Kolit,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Atopik Dermatit,kaşıntı,kırmızı,iltihaplı cilt,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı,,,,,,,,,,,,,,,,,,,,,,,
Nefroloji,Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Endokrinoloji,Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Tip 1 Diyabet,sık idrara çıkma,artan susuzluk,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,,,,
Dahiliye (İç Hastalıkları),Tip 2 Diyabet,yorgunluk,artan açlık,yaraların yavaş iyileşmesi,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenteroloji,Gastroenterit,mide bulantısı,kusma,ishal,karın ağrısı veya kramplar,ateş,,,,,,,,,,,,,,,,,,,,,,,
Nefroloji,İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,,,,,,,,,,,,,,,,,,,,,,,,
Göğüs Hastalıkları,Bronşit,sarı veya yeşil balgamlı kalıcı öksürük,göğüs tıkanıklığı,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Uyuz,yoğun kaşıntı,özellikle geceleri,küçük kabarcıklar veya şişlikler,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Sedef Hastalığı,ciltte pullu lekeler,kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatoloji,Egzama,kaşıntı,iltihaplı cilt,döküntü,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Kronik Baş Ağrısı,kalıcı baş ağrısı,boyun ve omuzlarda gerginlik,,,,,,,,,,,,,,,,,,,,,,,,,,
Genel Dahiliye,Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,,,,,,,,,,,,,,,,,,,,,,,,
Endokrinoloji,Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,,,,,,,,,,,,,,,,,,,,,,,,
Nöroloji,Migren,şiddetli baş ağrısı,mide bulantısı,ışığa ve sese duyarlılık,,,,,,,,,,,,,,,,,,,,,,,,,
Ortopedi,Siyatik,bel ağrısı,bacak ağrısı,uyuşma veya karıncalanma,,,,,,,,,,,,,,,,,,,,,,,,,
