Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20,Symptom_21,Symptom_22,Symptom_23,Symptom_24,Symptom_25,Symptom_26,Symptom_27,Symptom_28
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,gümüş renkli toz,tırnaklarda küçük ezikler,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,,
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,tırnaklarda küçük ezikler,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,,
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,iltihaplı tırnaklar,,,,,,,,,,,,,,,,,,,,,,,
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler,,,,,,,,,,,,,,,,,,,,,,,
İmpetigo,deri döküntüsü,yüksek ateş,kabarcık,burun çevresinde kırmızı yara,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,
İmpetigo,yüksek ateş,kabarcık,burun çevresinde kırmızı yara,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,,
İmpetigo,deri döküntüsü,kabarcık,burun çevresinde kırmızı yara,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,,
İmpetigo,deri döküntüsü,yüksek ateş,burun çevresinde kırmızı yara,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,,
İmpetigo,deri döküntüsü,yüksek ateş,kabarcık,kabuktan sarı irin akması,,,,,,,,,,,,,,,,,,,,,,,,
İmpetigo,deri döküntüsü,yüksek ateş,kabarcık,burun çevresinde kırmızı yara,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,yorgunluk,yüksek ateş,tat kaybı,öksürük,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,yüksek ateş,tat kaybı,öksürük,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,öksürük,yüksek ateş,yorgunluk,tat kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,tat kaybı,yorgunluk,yüksek ateş,öksürük,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,yüksek ateş,öksürük,yorgunluk,tat kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,yorgunluk,koku kaybı,yüksek ateş,öksürük,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,koku kaybı,yorgunluk,yüksek ateş,öksürük,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,tat kaybı,öksürük,yorgunluk,yüksek ateş,,,,,,,,,,,,,,,,,,,,,,,,
Kovid,yüksek ateş,yorgunluk,öksürük,tat kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Dimorfik Hemoroid,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,,,,,,,,,,,,,,,,,,,,,,,,
Dimorfik Hemoroid,kabızlık,anal bölgede ağrı,kanlı dışkı,anüs tahrişi,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yaralar,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,diskromik yaralar,,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,deri döküntüsü,bezeli cilt döküntüleri,diskromik yaralar,,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,kaşıntı,bezeli cilt döküntüleri,diskromik yaralar,,,,,,,,,,,,,,,,,,,,,,,,,
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,,,,,,,,,,,,,,,,,,,,,,,
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Paroksismal Pozisyonel Vertigo,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Paroksismal Pozisyonel Vertigo,kusma,mide bulantısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,dönme hareketleri,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,denge kaybı,kararsızlık,,,,,,,,,,,,,,,,,,,,,,,
Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları,baş ağrısı,yorgunluk,,,,,,,,,,,,,,,,,,,,,
Bronşit,öksürük,mukus üretimi,nefes darlığı,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,,,
Akciğer İltihaplanması (zatüre),ateş,öksürük,nefes darlığı,göğüs ağrısı,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,
Kalp Krizi,göğüs ağrısı,nefes darlığı,mide bulantısı,kusma,denge kaybı,terlemek,,,,,,,,,,,,,,,,,,,,,,
Felç,ani güç kaybı,vücudun bir tarafında uyuşukluk,bilinç bulanıklığı,konuşma zorluğu,tek gözde görme sorunu,şiddetli baş ağrısı,,,,,,,,,,,,,,,,,,,,,,
Kanser,yumru,açıklanamayan kilo kaybı,yorgunluk,bağırsaktaki değişiklikler,mesane alışkanlığında değişiklik,inatçı öksürük,hazımsızlık,açıklanamayan kanama veya akıntı,,,,,,,,,,,,,,,,,,,,
Diyabet,artan susuzluk,sık idrara çıkma,açıklanamayan kilo kaybı,yorgunluk,bulanık görüş,iyileşmesi yavaş olan kesikler,,,,,,,,,,,,,,,,,,,,,,
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,,,,,,,,,,,,,,,,,,,,,,,,
Artrit,ağrı,sertlik,şişme,eklemlerde iltihaplanma,,,,,,,,,,,,,,,,,,,,,,,,
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü,pembe göz,,,,,,,,,,,,,,,,,,,,,,
Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm,,,,,,,,,,,,,,,,,,,,,,,
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz,damak,,,,,,,,,,,,,,,,,,,,,,
Anemi,yorgunluk,nefes darlığı,soluk cilt,denge kaybı,baş dönmesi,,,,,,,,,,,,,,,,,,,,,,,
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,,,,,,,,,,,,,,,,,,,,,,,,
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,,,,,,,,,,,,,,,,,,,,,,,,
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,,,,,,,,,,,,,,,,,,,,,,,,
Astım,hırıltı,nefes darlığı,öksürme,göğüste sıkışma,,,,,,,,,,,,,,,,,,,,,,,,
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma,ışığa duyarlılık,,,,,,,,,,,,,,,,,,,,,,
Bipolar Bozukluk,aşırı ruh hali değişimleri,manito depresyonu,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma,,,,,,,,,,,,,,,,,,,,,,,
Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet,nefes darlığı,göğüs ağrısı,nefes almada zorluk,kan tükürme,,,,,,,,,,,,,,,,,,,
Bursit,ağrı,şişme,rahimde iltihaplanma,eklemleri tamponlayan küçük sıvı kesesi,,,,,,,,,,,,,,,,,,,,,,,,
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,,,,,,,,,,,,,,,,,,,,,,,,
Suçiçeği,döküntü,ateş,baş ağrısı,kas ağrıları,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,
Soğuk Algınlığı,burun akması,hapşırma,boğaz ağrısı,öksürük,tıkanıklık,,,,,,,,,,,,,,,,,,,,,,,
Göz Nezlesi,kırmızı,kaşıntı,gözlerde sulanma,,,,,,,,,,,,,,,,,,,,,,,,,
Depresyon,üzüntü,umutsuzluk,aktivitelere ilgi kaybı,iştahtaki değişiklikler,uyumak,enerji seviyeleri,,,,,,,,,,,,,,,,,,,,,,
İshal,ishal,sulu dışkı,,,,,,,,,,,,,,,,,,,,,,,,,,
Yüksek Ateş,yüksek vücut ısısı,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gıda Zehirlenmesi,mide bulantısı,kusma,ishal,karın krampları,,,,,,,,,,,,,,,,,,,,,,,,
Safra Taşları,sağ üst karın bölgesinde ağrı,mide bulantısı,kusma,ateş,,,,,,,,,,,,,,,,,,,,,,,,
Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma,,,,,,,,,,,,,,,,,,,,,,,
Grip,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları,baş ağrısı,yorgunluk,,,,,,,,,,,,,,,,,,,,,
Huzursuz Bağırsak Sendromu,karın ağrısı,şişkinlik,kabızlık,ishal,,,,,,,,,,,,,,,,,,,,,,,,
Böbrek Taşı,alt sırtta veya yan tarafta ağrı,mide bulantısı,kusma,idrarda kan,,,,,,,,,,,,,,,,,,,,,,,,
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk,balgamda kan,,,,,,,,,,,,,,,,,,,,,,
Sıtma,ateş,üşümek,terlemek,baş ağrısı,kas ağrıları,yorgunluk,kusma,ishal,,,,,,,,,,,,,,,,,,,,
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı,döküntü,,,,,,,,,,,,,,,,,,,,,,
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma,ışığa duyarlılık,,,,,,,,,,,,,,,,,,,,,,
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü,,,,,,,,,,,,,,,,,,,,,,,
Kuduz,ateş,baş ağrısı,kas ağrıları,ısırık yerinde karıncalanma,yutma güçlüğü,su korkusu (kuduz),uçma korkusu,,,,,,,,,,,,,,,,,,,,,
Salmonella,ateş,ishal,karın krampları,mide bulantısı,kusma,,,,,,,,,,,,,,,,,,,,,,,
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüberküloz,geçmeyen öksürük,ateş,gece terlemeleri,kilo kaybı,yorgunluk,göğüs ağrısı,,,,,,,,,,,,,,,,,,,,,,
İdrar Yolu Enfeksiyonu,ağrılı idrar yapma,yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrarda kan,,,,,,,,,,,,,,,,,,,,,,,
Varisli Damarlar,şişmiş,çatlak damarlar,genellikle bacaklarda,,,,,,,,,,,,,,,,,,,,,,,,,
Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantar Enfeksiyonu,kaşıntı,yanma,vajinor penisinden akıntı,,,,,,,,,,,,,,,,,,,,,,,,,
Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,,,,,,,,,,,,,,,,,,,,,,,,
Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,,,,,,,,,,,,,,,,,,,,,,,,
Akut Böbrek Yetmezliği,böbrek fonksiyonunda azalma,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aort Anevrizması,aort duvarındaki çıkıntı,vücuttaki en büyük arter,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolon Kanseri,dışkı alışkanlıklarında değişiklik,ishalimsi,kabızlık,dışkı azalması,dışkıda kan,karın ağrısı,açıklanamayan kilo kaybı,,,,,,,,,,,,,,,,,,,,,
Demans,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,,,,,,,,,,,,,,,,,,,,,,,,
Ereksiyon Bozukluğu,erekte olamama,ereksiyon olma,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibromiyalji,geniş alana yayılmış ağrı,yorgunluk,hassasiyet,,,,,,,,,,,,,,,,,,,,,,,,,
Glokom,gözde optik sinire zarar verebilecek artan basınç,görme kaybına neden olma,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkinson Hastalığı,ellerde titremek,yavaş hareket,sertlik,dengede zorluk,,,,,,,,,,,,,,,,,,,,,,,,
Peptik Ülser Hastalığı,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,,,,,,,,,,,,,,,,,,,,,,,,
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,,,,,,,,,,,,,,,,,,,,,,,,
Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,,,,,,,,,,,,,,,,,,,,,,,,
Romatizmal Eklem İltihabı,ağrı,şişme,eklemlerde kısıtlılık,,,,,,,,,,,,,,,,,,,,,,,,,
Felç,ani güç kaybı,vücudun bir tarafında uyuşukluk,konuşma zorluğu,bilinç bulanıklığı,tek gözde görme sorunu,şiddetli baş ağrısı,,,,,,,,,,,,,,,,,,,,,,
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,,
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı,soğuğa duyarlılık,,,,,,,,,,,,,,,,,,,,,,
Ülseratif Kolit,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Atopik Dermatit,kaşıntı,kırmızı,iltihaplı cilt,,,,,,,,,,,,,,,,,,,,,,,,,
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı,,,,,,,,,,,,,,,,,,,,,,,
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği,,,,,,,,,,,,,,,,,,,,,,,
Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,,,,,,,,,,,,,,,,,,,,,,,,
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip 1 Diyabet,sık idrara çıkma,artan susuzluk,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,,,,
Tip 2 Diyabet,yorgunluk,artan açlık,yaraların yavaş iyileşmesi,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroenterit,mide bulantısı,kusma,ishal,karın ağrısı veya kramplar,ateş,,,,,,,,,,,,,,,,,,,,,,,
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,,,,,,,,,,,,,,,,,,,,,,,,
Bronşit,sarı veya yeşil balgamlı kalıcı öksürük,göğüs tıkanıklığı,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,,,
Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,,
Uyuz,yoğun kaşıntı,özellikle geceleri,küçük kabarcıklar veya şişlikler,,,,,,,,,,,,,,,,,,,,,,,,,
Sedef Hastalığı,ciltte pullu lekeler,kaşıntı,,,,,,,,,,,,,,,,,,,,,,,,,,
Egzama,kaşıntı,iltihaplı cilt,döküntü,,,,,,,,,,,,,,,,,,,,,,,,,
Kronik Baş Ağrısı,kalıcı baş ağrısı,boyun ve omuzlarda gerginlik,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,,,,,,,,,,,,,,,,,,,,,,,,
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,,,,,,,,,,,,,,,,,,,,,,,,
Migren,şiddetli baş ağrısı,mide bulantısı,ışığa ve sese duyarlılık,,,,,,,,,,,,,,,,,,,,,,,,,
Siyatik,bel ağrısı,bacak ağrısı,uyuşma veya karıncalanma,,,,,,,,,,,,,,,,,,,,,,,,,
Analjeziklere Bağlı Zehirlenme,mide bulantısı,kusma,karın ağrısı,baş dönmesi,bilinç bulanıklığı,solunum zorluğu,,,,,,,,,,,,,,,,,,,,,,
Kıl Kurdu Enfeksiyonu,anüs veya vajina çevresinde kaşıntı,huzursuz uyku,sinirlilik,anal veya vajinal akıntı,karın ağrısı veya rahatsızlık,iştah kaybı,,,,,,,,,,,,,,,,,,,,,,
Üretral Valfler,zorlu veya zayıf idrar akışı,idrar yolu enfeksiyonları,idrar sıklığı veya aciliyet,karın şişliği,sağlıksız kilo alımı,,,,,,,,,,,,,,,,,,,,,,,
Saçkıran,saç dökülmesi veya kellik,düzensiz veya genelleştirilmiş saç dökülmesi,,,,,,,,,,,,,,,,,,,,,,,,,,
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük,yorgunluk,,,,,,,,,,,,,,,,,,,,,,
Kolesteatom,kulak ağrısı,işitme kaybı,kulak drenajı,baş dönmesi veya vertigo,kulak çınlaması,,,,,,,,,,,,,,,,,,,,,,,
Bağırsak Düğümlenmesi,karın ağrısı,mide bulantısı,kusma,şişkinlik,kabızlık,kanlı dışkı,,,,,,,,,,,,,,,,,,,,,,
Hemartroz,eklem şişmesi,ağrı,sıcaklık,sınırlı hareket açıklığı,,,,,,,,,,,,,,,,,,,,,,,,
Göz Kapağı Kisti,göz kapağında ağrılı yumru veya şişlik,kızarıklık,hassasiyet,,,,,,,,,,,,,,,,,,,,,,,,,
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,,,,,,,,,,,,,,,,,,,,,,,,
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri,boyun ağrısı veya sertliği,,,,,,,,,,,,,,,,,,,,,,
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı,iştahsızlık,,,,,,,,,,,,,,,,,,,,,,
Baş ve Boyun Kanseri,kalıcı boğaz ağrısı,yutma güçlüğü,ses değişiklikleri,kulak ağrısı,boyun kitlesi,kilo kaybı,,,,,,,,,,,,,,,,,,,,,,
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması,,,,,,,,,,,,,,,,,,,,,,,
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,,,,,,,,,,,,,,,,,,,,,,,,
Hipertansif Kalp Hastalığı,yüksek tansiyon,göğüs ağrısı veya rahatsızlığı,nefes darlığı,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,,
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı,,,,,,,,,,,,,,,,,,,,,,,
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar,,,,,,,,,,,,,,,,,,,,,,,
Kas Spazmı,ani kasılma,istemsiz kas kasılmaları,kas ağrısı,sertlik,sınırlı hareket açıklığı,,,,,,,,,,,,,,,,,,,,,,,
Böbrek Yetmezliği,idrar çıkışının azalması,sıvı birikmesi,yorgunluk,nefes darlığı,mide bulantısı,bilinç bulanıklığı,göğüs ağrısı,nöbetler,,,,,,,,,,,,,,,,,,,,
Diş Çürüğü,diş ağrısı,diş hassasiyeti,dişlerde görünür çukurlar veya delikler,dişlerdeki koyu lekeler,ağız kokusu,,,,,,,,,,,,,,,,,,,,,,,
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı,,,,,,,,,,,,,,,,,,,,,,,
Kuduz,ateş,baş ağrısı,yorgunluk,endişe,bilinç bulanıklığı,halüsinasyonlar,yutma güçlüğü,,,,,,,,,,,,,,,,,,,,,
Hemolitik Anemi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,sarılık,,,,,,,,,,,,,,,,,,,,,,,
A Vitamini Eksikliği,gece körlüğü,kuru gözler,kuru veya pürüzlü cilt,zayıf yara iyileşmesi,zayıf bağışıklık,,,,,,,,,,,,,,,,,,,,,,,
Belsoğukluğu,ağrılı idrar yapma,cinsel organlardan anormal akıntı,pelvik ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,,,,,,,,,,,,,,,,,,,,,,,,
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma,,,,,,,,,,,,,,,,,,,,,,,
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,,,,,,,,,,,,,,,,,,,,,,,,
Testis Kanseri,testislerde şişlik veya yumru,ağrı veya rahatsızlık,testis boyutunda veya şeklinde değişiklikler,,,,,,,,,,,,,,,,,,,,,,,,,
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,,,,,,,,,,,,,,,,,,,,,,,,
Burun Apsesi,ağrı,şişme,kızarıklık,burun akıntısı,,,,,,,,,,,,,,,,,,,,,,,,
Lösemi,yorgunluk,soluk cilt,sık enfeksiyonlar,kolay kanama veya morarma,,,,,,,,,,,,,,,,,,,,,,,,
İlaç Reaksiyonu,döküntü,kaşıntı,şişme,ateş,solunum semptomları,,,,,,,,,,,,,,,,,,,,,,,
Farenjit,boğaz ağrısı,yutma güçlüğü,şişmiş lenf düğümleri,,,,,,,,,,,,,,,,,,,,,,,,,
Akciğer İltihaplanması (zatüre),öksürük,ateş,göğüs ağrısı,nefes almada zorluk,,,,,,,,,,,,,,,,,,,,,,,,
Siringomiyeli,kas güçsüzlüğü,duyu kaybı,kronik ağrı,,,,,,,,,,,,,,,,,,,,,,,,,
Pulmoner Fibroz,nefes darlığı,kuru öksürük,yorgunluk,,,,,,,,,,,,,,,,,,,,,,,,,
Parkinson Hastalığı,ellerde titremek,sertlik,hareket yavaşlığı,,,,,,,,,,,,,,,,,,,,,,,,,
Gut,yoğun eklem ağrısı,şişme,kızarıklık,,,,,,,,,,,,,,,,,,,,,,,,,
Gıda Alerjisi,döküntü,kaşıntı,şişme,nefes almada zorluk,sindirim sistemi ile ilgili semptomlar,,,,,,,,,,,,,,,,,,,,,,,
Adet Öncesi Gerginlik Sendromu,ruh halinde ani değişimler,şişkinlik,göğüslerde hassasiyet,sinirlilik,,,,,,,,,,,,,,,,,,,,,,,,
Panik Atak,göğüs ağrısı,nefes darlığı,çarpıntı hissi,,,,,,,,,,,,,,,,,,,,,,,,,
B12 Vitamini Eksikliği,yorgunluk,zayıflık,soluk cilt,nefes darlığı,ellerde ve ayaklarda karıncalanma veya uyuşma,denge sorunları,ağızda yanma hissi,,,,,,,,,,,,,,,,,,,,,
Mesane Bozukluğu,sık idrara çıkma,aciliyet,pelvik ağrısı,,,,,,,,,,,,,,,,,,,,,,,,,
Bitler,kaşıntı,saçta gözle görülür bit varlığı,,,,,,,,,,,,,,,,,,,,,,,,,,
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı,nöbetler,kalp atış hızındaki değişiklikler,düşük kan basıncı,solunum zorluğu,,,,,,,,,,,,,,,,,,,
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı,mide bulantısı,kusma,sinirlilik,zihinsel karmaşa,düzensiz kalp atışı,karıncalanma veya uyuşma,kişilik değişiklikleri,nöbetler,,,,,,,,,,,,,,,
Siroz,yorgunluk,sarılık,karın şişmesi,kolay morarma ve kanama,bilinç bulanıklığı,iştah kaybı,kilo kaybı,,,,,,,,,,,,,,,,,,,,,
Panik Atak,çarpıntı hissi,terlemek,titreme,nefes darlığı,kontrolü kaybetme korkusu,baş dönmesi,,,,,,,,,,,,,,,,,,,,,,
Kırık,ağrı,şişme,morarma,şekil bozukluğu,hareket etme zorluğu,fonksiyon kaybı,,,,,,,,,,,,,,,,,,,,,,
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek,baygınlık,vertigo,ter,çarpıntı,mide bulantısı,göğüs ağrısı,göğüste baskı,,,,,,,,,,,,,,,,
Diyabet,sık idrara çıkma,polidipsi,nefes darlığı,göğüs ağrısı,bitkinlik,mide bulantısı,dik durma haricinde nefes darlığı,solunumda hırıltı,ter,tepkisizlik,ruhsal durum değişiklikleri,vertigo,kusma,zor nefes alma,,,,,,,,,,,,,,
Ruhsal Depresyon,intihara meyilli hissetmek,intihara meyilli,işitsel halüsinasyonlar,umutsuz hissetmek,ağlamak,uykusuzluk,motor kaslarda yavaşlama,sinirli ruh hali,bayılma,depresif ruh hali,görsel halüsinasyonlar,endişelenmek,ajitasyon,titreme,sarhoşluk,sözlü ve işitsel halüsinasyonlar,artan enerji,difficulty,nightmare,unable to concentrate,homelessness,,,,,,,
Koroner Arterioskleroz,göğüs ağrısı,göğüs ağrısı,nefes darlığı,hamlık,ter,göğüste baskı,eforla nefes darlığı,dik durma haricinde nefes darlığı,göğüste sıkışma,,,,,,,,,,,,,,,,,,,
Akciğer İltihaplanması (zatüre),öksürük,ateş,yarı saydamlığın azalması,nefes darlığı,solunumda hırıltı,balgamlı öksürük,plöretik ağrı,sarı balgam,solunum sesi azalması,üşümek,göğüste hırıltılı ses,yeşil balgam,kuru öksürük,hırıltı,kanlı balgam veya kan tükürme,solunumda zayıflık,çok hızlı solunum,malaise,night sweat,,,,,,,,,
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,nefes darlığı,öksürük,hırıltı,,,,,,,,,,,,,,,,,,,,,
